Név;Vármegye;Népesség;Terület;Várossá nyilvánítás éve
Aba;Fejér;4411;88,05;2013
Abádszalók;Jász-Nagykun-Szolnok;4034;132,23;2005
Abaújszántó;Borsod-Abaúj-Zemplén;2883;47,39;2004
Abony;Pest;14214;127,97;1993
Ács;Komárom-Esztergom;6950;103,84;2007
Adony;Fejér;3963;61,05;2004
Ajak;Szabolcs-Szatmár-Bereg;3482;24,76;2013
Ajka;Veszprém;27593;95,05;1959
Albertirsa;Pest;13060;73;2003
Alsózsolca;Borsod-Abaúj-Zemplén;5614;26,02;2007
Aszód;Pest;6223;16,2;1991
Bábolna;Komárom-Esztergom;3850;33,55;2003
Bácsalmás;Bács-Kiskun;6424;108,32;1986
Badacsonytomaj;Veszprém;2026;32,71;2004
Baja;Bács-Kiskun;34155;177,89;1885 előtt
Baktalórántháza;Szabolcs-Szatmár-Bereg;3940;35,24;1993
Balassagyarmat;Nógrád;14496;23,33;1923
Balatonalmádi;Veszprém;9204;49,88;1989
Balatonboglár;Somogy;5398;32,04;1991
Balatonföldvár;Somogy;2207;15,32;1992
Balatonfüred;Veszprém;12732;46,45;1971
Balatonfűzfő;Veszprém;4469;9,25;2000
Balatonkenese;Veszprém;2640;44,18;2009
Balatonlelle;Somogy;5248;43,23;1991
Balkány;Szabolcs-Szatmár-Bereg;6107;90;2004
Balmazújváros;Hajdú-Bihar;17038;205,44;1989
Barcs;Somogy;10129;122,9;1978
Bátaszék;Tolna;6058;63,57;1995
Bátonyterenye;Nógrád;11489;78,92;1989
Battonya;Békés;5466;145,71;1989
Békés;Békés;18173;127,23;1973
Békéscsaba;Békés;58654;193,93;1918
Bélapátfalva;Heves;2912;36,63;2004
Beled;Győr-Moson-Sopron;2538;26,47;2009
Berettyóújfalu;Hajdú-Bihar;14557;171,01;1978
Berhida;Veszprém;5698;42,72;2004
Besenyszög;Jász-Nagykun-Szolnok;3228;138,08;2013
Biatorbágy;Pest;14449;44,12;2007
Bicske;Fejér;11489;77,08;1986
Biharkeresztes;Hajdú-Bihar;4121;49,26;1989
Bodajk;Fejér;3973;28,98;2008
Bóly;Baranya;3820;25,44;1997
Bonyhád;Tolna;12706;72,14;1977
Borsodnádasd;Borsod-Abaúj-Zemplén;3068;28,07;2001
Budakalász;Pest;11361;15,17;2009
Budakeszi;Pest;14874;37,1;2000
Budaörs;Pest;29119;23,59;1986
Budapest;Budapest;1750216;525,14;1885 előtt
Bük;Vas;3806;20,86;2007
Cegléd;Pest;35477;244,88;1885 előtt
Celldömölk;Vas;10443;52,39;1978
Cigánd;Borsod-Abaúj-Zemplén;3009;56,76;2004
Csákvár;Fejér;5474;118,76;2013
Csanádpalota;Csongrád-Csanád;2594;77,92;2009
Csenger;Szabolcs-Szatmár-Bereg;4780;36,16;1989
Csepreg;Vas;3302;49,54;1995
Csongrád;Csongrád-Csanád;15949;173,89;1922
Csorna;Győr-Moson-Sopron;9958;91,95;1971
Csorvás;Békés;4582;90,18;2005
Csurgó;Somogy;4636;59,42;1989
Dabas;Pest;17427;165,99;1989
Debrecen;Hajdú-Bihar;201112;461,66;1885 előtt
Demecser;Szabolcs-Szatmár-Bereg;3959;37;2001
Derecske;Hajdú-Bihar;8345;103,59;1991
Dévaványa;Békés;7272;216,55;2000
Devecser;Veszprém;4238;64,11;1997
