Város;Ország;Népesség;Dátum
Tokió;Japán;38,001;2009.04.07
Delhi;India;25,703168;2012.02.17
Shanghai;Kína;23,740778;2023.01.17
Sao Paulo;Brazília;21,066245;2014.04.11
Mumbai;India;21,042538;2025.02.22
Mexico City;Mexikó;20,998543;2000.06.19
Beijing;Kína;20,383994;2020.01.09
Osaka;Japán;20,237645;2009.12.29
Cairo;Egyiptom;18,771769;2024.12.12
New York;USA;18,59322;2009.05.12
Dhaka;Banglades;17,598228;2022.04.07
Karachi;Pakisztán;16,617644;2014.11.25
Buenos Aires;Argentína;15,180176;2024.11.25
Kolkata;India;14,864919;2014.07.18
Istanbul;Törökország;14,163989;2009.09.07
Chongqing;Kína;13,331579;2014.06.10
Lagos;Nigéria;13,122829;2009.06.11
Manila;Fülöp-szigetek;12,946263;2000.11.14
Rio de Janeiro;Brazília;12,902306;2000.08.01
Guangzhou;Kína;12,45813;2006.12.25
Los Angeles;USA;12,30953;2000.10.11
Moscow;Oroszország;12,165704;2022.08.04
Kinshasa;Kongói Demokratikus Köztársaság;11,586914;2005.12.25
Tianjin;Kína;11,210329;2023.01.18
Paris;Franciaország;10,843285;2014.03.11
Shenzhen;Kína;10,749473;2014.11.01
Jakarta;Indonézia;10,323142;2000.11.04
London;UK;10,313307;2024.05.08
Bangalore;India;10,087132;2021.09.03
Lima;Peru;9,897033;2014.02.12
