cim;rendezo;szarmazas;kezdesEve;kategoria;evadok
Farkasbőrben;Jeff Davis;amerikai;2011;fantasy;6
Géniusz;Kenneth Biller, Noah Pink, Ron Howard;amerikai;2017;dráma;2
Eltűntek;J.J. Abrams, Jack Bender, Stephen Williams;amerikai;2004;fantasy;6
A bolygó kapitánya;Ted Turner, Barbara Pyle;amerikai;1990;rajzfilm;6
A célszemély;Richard J. Lewis;amerikai;2011;bűnügyi;5
A dadus; Randy Bennett, Jim Cox, Fran Drescher;amerikai;1993;vígjáték;6
A farm, ahol élünk; Michael Landon, William F. Claxton, Maury Dexter;amerikai;1974;dráma;9
A férfi fán terem;Jeffrey Melman, Rick Wallace;amerikai;2006;vígjáték;2
A férjem védelmében; Charles McDougall, Scott Ellis, Daniel Minahan;amerikai;2009;dráma;7
A Grace klinika;Adam Davidson, John David Coles, Mark Tinker;amerikai;2005;dráma;14
A Guldenburgok öröksége;Gero Erhardt, Jürgen Goslar;német;1987;dráma;3
A híd;Charlotte Sieling, Henrik Georgsson, Lisa Siwe;skandináv;2011;krimi;4
A klinika;Alfred Vohrer, Hans-Jürgen Tögel;német;1985;dráma;7
A kockásfülű nyúl;Richly Zsolt;magyar;1977;rajzfilm;2
A nagy ho-ho-ho-horgász;Csukás István, Dargay Attila, Füzesi Zsuzsa;magyar;1982;rajzfilm;2
A narancsvidék;Josh Schwartz;amerikai;2003;vígjáték;4
A nevem Earl;Eyal Gordin, Marc Buckland, Michael Fresco;amerikai;2005;vígjáték;4
A semmi közepén;Barnet Kellman, Ken Whittingham, Lee Shallat Chemel;amerikai;2009;vígjáték;9
A médium;Aaron Lipstadt, Arliss Howard, Artie Mandelberg;amerikai;2005;bűnügyi;7
A mentalista;Chris Long, David Barrett, David Nutter;amerikai;2008;bűnügyi;7
A mi kis falunk;Kapitány Iván;magyar;2017;vígjáték;1
A Simpson család;Bob Anderson, Neil Affleck;amerikai;1989;rajzfilm;30
Alf;Burt Brinckerhoff, Gary Shimokawa, Nick Havinga;amerikai;1986;vígjáték;4
Alias;J.J. Abrams, Jack Bender, Karen Gaviola;amerikai;2001;dráma;5
Ally McBeal;Arlene Sanford, Bill D'Elia, Billy Dickson;amerikai;1997;vígjáték;5
Avatar - Aang legendája;Dave Filoni;amerikai;2005;rajzfilm;3
Avatar - Korra legendája;Joaquim Dos Santos, Ki Hyun Ryu;amerikai;2012;rajzfilm;4
Az Angyal;John Llewellyn Moxey, John Gilling, Roger Moore;amerikai;1962;krimi;6
Baywatch;Charles Braverman, Cliff Bole, David Hasselhoff;amerikai;1989;dráma;11
Bír-lak;Howard Storm, Jeff Franklin, John Bowab;amerikai;1987;vígjáték;8
Bostoni halottkémek;Allan Arkush, Andy Wolk, Curtis A. Schnell;amerikai;2001;krimi;6
A szultána;Mert Baykal, Yagiz Alp Akaydin, Zeynep Gunay;török;2015;dráma;2
A szupercsapat;Chuck Bowman, Craig R. Baxley, James Darren;amerikai;1983;kaland;5
A zöld íjász;Eagle Egilsson, Guy Norman Bee, John Behring;amerikai;2012;krimi;7
Carter ügynök;Christopher Markus, Stephen McFeely ;amerikai;2015;akció;2
Castle;Bryan Spicer, John Terlesky, Rob Bowman;amerikai;2009;vígjáték;8
Charlie angyalai;Allen Baron, Dennis Donnelly, George McCowan;amerikai;1976;krimi;5
