id;name;address;price;rooms
1;Duna Business Center;1138 Budapest, Váci út 141.;420000;3.5
2;Alfa Irodaház;1117 Budapest, Prielle Kornélia utca 4/B.;315000;2.0
3;Corvin Workspace;1082 Budapest, Futó utca 37.;390000;3.0
4;Infopark Offices;1117 Budapest, Gábor Dénes utca 2.;520000;4.0
5;Central Plaza Office;1054 Budapest, Bajcsy-Zsilinszky út 12.;280000;2.5
6;Riverside Hub;1133 Budapest, Árbóc utca 6.;340000;3.0
7;Metro Office Park;1095 Budapest, Soroksári út 48.;295000;2.0
8;Buda Business Point;1027 Budapest, Frankel Leó út 45.;260000;2.0
9;City Center Offices;1061 Budapest, Andrássy út 22.;450000;3.5
10;Green Office Hub;1119 Budapest, Fehérvári út 84/A.;230000;1.5
