datum;helyszin;nev;nem;szuldat;nemzet;helyezes;hiba;csapat;tipus;motor
1958.10.19;Marokkó;Masten Gregory;F;1932.2.29;amerikai;6;;Temple Buell;Maserati;Maserati
1954.07.17;Nagy-Britannia;Don Beauman;F;1928.7.26;brit;11;;Sir Jeremy Boles;Connaught;Lea
1950.09.03;Olaszország;Alberto Ascari;F;1918.7.13;olasz;2;;Scuderia Ferrari;Ferrari;Ferrari
1951.10.28;Spanyolország;Luigi Villoresi;F;1909.5.16;olasz;;gyújtás;Scuderia Ferrari;Ferrari;Ferrari
1951.07.29;Németország;Jose-Froilan Gonzalez;F;1922.10.5;argentín;3;;Scuderia Ferrari;Ferrari;Ferrari
1951.05.30;USA;Cliff Griffith;F;1916.2.6;amerikai;;tengely;Ludson Morris;Kurtis;Offenhauser
1957.05.30;USA;Bob Veith;F;1926.11.1;amerikai;9;;Phillips;Phillips;Offenhauser
1959.08.02;Németország;Ian Burgess;F;1930.7.6;brit;6;;Scuderia Centro Sud;Cooper;Maserati
1960.05.30;USA;Dempsey Wilson;F;1927.3.11;amerikai;;gyújtás;Kurtis Kraft;Kurtis;Offenhauser
1953.05.30;USA;Chuck Stevenson;F;1919.10.15;amerikai;9;;JC Agajanian;Kurtis;Offenhauser
1950.05.21;Monaco;Raymond Sommer;F;1906.8.31;francia;4;;Scuderia Ferrari;Ferrari;Ferrari
1957.05.19;Monaco;Stirling Moss;F;1929.9.17;brit;;karambol;Vandervell Products Ltd;Vanwall;Vanwall
1955.05.22;Monaco;Stirling Moss;F;1929.9.17;brit;9;;Daimler Benz AG;Mercedes;Mercedes
1952.05.18;Svájc;Rudolf Fischer;F;1912.4.19;svájci;2;;Ecurie Espadon;Ferrari;Ferrari
1959.05.31;Hollandia;Innes Ireland;F;1930.12.16;brit;4;;Team Lotus;Lotus;Climax
1957.09.08;Olaszország;Juan-Manuel Fangio;F;1911.6.24;argentín;2;;Officine Alfieri Maserati;Maserati;Maserati
1960.06.06;Hollandia;Jim Clark;F;1936.3.4;skót;;futómû;Team Lotus;Lotus;Climax
1954.08.01;Németország;Louis Rosier;F;1905.11.5;francia;8;;Ecurie Rosier;Ferrari;Ferrari
1958.07.06;Franciaország;Carroll Shelby;F;1923.1.11;amerikai;;motor;Scuderia Centro Sud;Maserati;Maserati
1956.06.03;Belgium;Stirling Moss;F;1929.9.17;brit;3;;Officine Alfieri Maserati;Maserati;Maserati
1956.01.22;Argentína;Oscar Gonzalez;F;1923.11.10;uruguayi;6;;Alberto Uria;Maserati;Maserati
1960.05.29;Monaco;Chuck Daigh;F;1923.11.29;amerikai;;kizárták;Reventlow Automobiles Inc;Scarab;Scarab
1956.05.30;USA;Pat Flaherty;F;1926.1.6;amerikai;1;;Watson;Watson;Offenhauser
1960.02.07;Argentína;Wolfgang von Trips;F;1928.5.4;német;5;;Scuderia Ferrari;Ferrari;Ferrari
1956.08.05;Németország;Harry Schell;F;1921.6.29;amerikai;;túlhajtás;Scuderia Centro Sud;Maserati;Maserati
1954.01.17;Argentína;Mike Hawthorn;F;1929.4.10;brit;;pályaelhagyás;Scuderia Ferrari;Ferrari;Ferrari
1955.06.05;Belgium;Piero Taruffi;F;1906.10.12;olasz;;nem rajtolt el;Scuderia Ferrari;Ferrari;Ferrari
1952.06.22;Belgium;Jean Behra;F;1921.2.16;francia;;karambol;Equipe Gordini;Gordini;Gordini
1954.09.05;Olaszország;Luigi Villoresi;F;1909.5.16;olasz;;kuplung;Officine Alfieri Maserati;Maserati;Maserati
1959.08.02;Németország;Harry Schell;F;1921.6.29;amerikai;7;;Owen Racing Organisation;BRM;BRM
1957.05.19;Monaco;Harry Schell;F;1921.6.29;amerikai;;kiállás;Officine Alfieri Maserati;Maserati;Maserati
1957.05.30;USA;Jimmy Reece;F;1929.11.17;amerikai;;gázadagoló;Kurtis Kraft;Kurtis;Offenhauser
1950.05.13;Nagy-Britannia;Brian Shawe-Taylor;F;1915.1.29;brit;10;;;Maserati;Maserati
1951.07.29;Németország;Emanuel de Graffenried;F;1914.5.18;svájci;;motor;Enrico Plate;Maserati;Maserati
1958.08.24;Portugália;Carroll Shelby;F;1923.1.11;amerikai;;karambol;Temple Buell;Maserati;Maserati
1951.09.16;Olaszország;Chico Landi;F;1907.7.14;brazil;;futómû;;Ferrari;Ferrari
1952.07.06;Franciaország;Gianfranco Comotti;F;1906.7.24;olasz;12;;Scuderia Marzotto;Ferrari;Ferrari
1959.07.18;Nagy-Britannia;Ron Flockhart;F;1923.6.16;brit;;kicsúszás;Owen Racing Organisation;BRM;BRM
1952.09.07;Olaszország;Tony Gaze;F;1920.2.3;ausztrál;;kizárták;;HWM;Alta
1950.05.30;USA;Bill Holland;F;1907.12.13;amerikai;2;;Lou Moore;Deidt;Offenhauser
1950.09.03;Olaszország;Juan-Manuel Fangio;F;1911.6.24;argentín;;kiesett;Alfa Romeo SpA;Alfa;Alfa
1954.07.17;Nagy-Britannia;Horace Gould;F;1921.9.20;brit;15;;Gould's Garage (Bristol);Cooper;Bristol
1951.05.30;USA;Chuck Stevenson;F;1919.10.15;amerikai;;tûz;Carl Marchese;Marchese;Offenhauser
1958.06.15;Belgium;Jack Brabham;F;1926.4.2;ausztrál;;túlhajtás;Cooper Car Company;Cooper;Climax
1954.07.04;Franciaország;Sergio Mantovani;F;1929.5.22;olasz;;nem rajtolt el;Officine Alfieri Maserati;Maserati;Maserati
1953.07.05;Franciaország;Johnny Claes;F;1916.8.11;belga;12;;Ecurie Belge;Connaught;Lea
1953.07.18;Nagy-Britannia;Jose-Froilan Gonzalez;F;1922.10.5;argentín;4;;Officine Alfieri Maserati;Maserati;Maserati
1951.07.01;Franciaország;Alberto Ascari;F;1918.7.13;olasz;2;;Scuderia Ferrari;Ferrari;Ferrari
1951.09.16;Olaszország;Felice Bonetto;F;1903.6.9;olasz;3;;Alfa Romeo SpA;Alfa;Alfa
1960.07.16;Nagy-Britannia;Bruce McLaren;F;1937.8.30;új-zélandi;4;;Cooper Car Company;Cooper;Climax
1958.10.19;Marokkó;Tony Brooks;F;1932.2.25;brit;;motor;Vandervell Products Ltd;Vanwall;Vanwall
1957.07.20;Nagy-Britannia;Jack Brabham;F;1926.4.2;ausztrál;;kuplung;Rob Walker Racing Team;Cooper;Climax
1954.07.04;Franciaország;Juan-Manuel Fangio;F;1911.6.24;argentín;1;;Daimler Benz AG;Mercedes;Mercedes
1954.09.05;Olaszország;Luigi Musso;F;1924.7.28;olasz;;futómû;Officine Alfieri Maserati;Maserati;Maserati
1954.07.17;Nagy-Britannia;John Riseley-Prichard;F;1924.1.17;brit;;karambol;Rob Walker Racing Team;Connaught;Lea
1956.08.05;Németország;Andre Milhoux;F;1928.12.9;belga;;motor;Equipe Gordini;Gordini;Gordini
1952.05.18;Svájc;Max de Terra;F;1918.10.6;svájci;;gyújtás;Alfred Dattner;Simca-Gordini;Gordini
1953.09.13;Olaszország;Mike Hawthorn;F;1929.4.10;brit;4;;Scuderia Ferrari;Ferrari;Ferrari
1955.05.22;Monaco;Mike Hawthorn;F;1929.4.10;brit;;gázadagoló;Vandervell Products Ltd;Vanwall;Vanwall
1954.06.20;Belgium;Paul Frere;F;1917.1.30;belga;;motor;Equipe Gordini;Gordini;Gordini
1956.08.05;Németország;Roy Salvadori;F;1922.5.12;brit;;kiállás;Gilby Engineering Ltd;Maserati;Maserati
1957.07.20;Nagy-Britannia;Mike Hawthorn;F;1929.4.10;brit;3;;Scuderia Ferrari;Lancia;Lancia
1958.05.26;Hollandia;Cliff Allison;F;1932.2.8;brit;6;;Team Lotus;Lotus;Climax
1960.05.29;Monaco;Brian Naylor;F;1923.3.24;brit;;kizárták;JB Naylor;JBW;Maserati
1955.01.16;Argentína;Umberto Maglioli;F;1928.6.5;olasz;3;;Scuderia Ferrari;Ferrari;Ferrari
1952.05.30;USA;Johnny McDowell;F;1915.1.29;amerikai;21;;Roger Wolcott;Kurtis;Offenhauser
1955.05.22;Monaco;Cesare Perdisa;F;1932.10.21;olasz;;kiesett;Officine Alfieri Maserati;Maserati;Maserati
1951.10.28;Spanyolország;Georges Grignard;F;1905.7.25;francia;;motor;;Talbot-Lago;Talbot
1952.09.07;Olaszország;Charles de Tornaco;F;1927.6.7;belga;;kizárták;Ecurie Francorchamps;Ferrari;Ferrari
1956.01.22;Argentína;Peter Collins;F;1931.11.8;brit;;karambol;Scuderia Ferrari;Ferrari;Ferrari
