alkotoazon	nev	szuletett	elhunyt
1	Fekete László	1889.04.29	1946.12.14
2	Balázs Samu	1906.05.18	1981.09.25
3	Geszti Péter	1964.05.09	
4	Dargay Attila	1927.06.20	2009.10.20
5	Kiss Manyi	1911.03.12	1971.03.24
6	Kabos Gyula	1887.03.19	1941.10.06
7	Benedek Miklós	1946.09.28	
8	Márkus László	1927.06.10	1985.12.30
9	Horváth László	1943.02.10	1988.01.22
10	Barsi Béla	1906.01.24	1968.04.30
11	Makk Károly	1925.12.22	2017.08.30
12	Lovasi András	1967.06.20	
13	Cserhalmi György	1948.02.17	
14	Pauer Henrik		
15	Hetényi Pál	1935.07.24	1994.05.14
16	Gruber István		
17	Székács Béláné		
18	Ivan Andonov	1934.05.03	2011.12.29
19	Pataki Éva	1954.08.23	
20	Bontovics Katalin	1953.01.30	
21	Hildebrand István	1928.09.26	2022.03.29
22	Janikovszky Éva	1926.04.23	2003.07.14
23	Csoóri Sándor	1930.02.03	2016.09.12
24	Mészáros Márta	1931.09.19	
25	Dózsa László	1942.10.12	
26	Ronyecz Mária	1944.06.25	1989.11.02
27	Bereményi Géza	1946.01.25	
28	Kosztolányi Dezső	1885.03.29	1936.11.03
29	Básti Juli	1957.08.10	
30	Puskás Ferenc	1927.04.01	2006.11.17
31	Homoki-Nagy István	1914.09.02	1979.12.14
32	Makay Árpád	1911.05.28	2004.12.06
33	Lenkeffy Ica	1896.10.25	1955.01.25
34	Farkas Ferenc	1905.12.15	2000.10.10
35	Szabó Sipos Tamás	1937.07.22	1985.10.06
36	Ruttkai Éva	1927.12.31	1986.09.27
37	Molnár Ferenc	1878.01.12	1952.04.01
38	Pacséry Ágoston	1903.03.03	1977.06.10
39	Kodály Zoltán	1882.12.16	1967.03.06
40	Petress Zsuzsa	1928.12.11	2001.03.04
41	Sinkovits Imre	1928.09.21	2001.01.18
42	Szentgyörgyi István	1842.02.20	1931.10.19
43	Varga Csaba	1945.10.28	2012.06.15
44	Vincze Ottó	1974.08.29	
45	Várkonyi Mihály	1891.03.31	1976.06.06
46	Deák Sándor	1909.12.05	2002.06.13
47	Illés Tibor		
48	Mányai Lajos	1912.02.10	1964.11.24
49	ifj. Korga György		
50	Pásztor István	1916.03.20	1974.06.05
51	Simon Marcsa	1882.11.21	1954.01.08
52	Mécs Károly	1936.01.10	
53	Szervánszky Endre	1911.12.27	1977.06.25
54	Tasnády Fekete Mária	1911.11.16	2001.03.16
55	Hernádi Judit	1956.04.11	
56	Molnár Tibor	1921.07.26	1982.11.24
57	Báró Anna	1920.10.03	1994.10.23
58	Csukás István	1936.04.02	2020.02.24
59	John Moulder Brown	1953.06.03	
60	Jankovics Marcell	1941.10.21	2021.05.29
61	Romhányi József	1921.03.08	1983.05.07
62	Góth Sándor	1869.10.19	1946.09.07
63	Máriáss József	1920.02.23	1991.04.24
64	Rajhona Ádám	1943.12.12	2016.05.20
65	Macskássy Gyula	1912.02.04	1971.10.29
66	Osvát András	1946.04.19	
67	Mikó István	1950.10.22	
68	Eperjes Károly	1954.02.17	
69	Lengyel Péter		
70	Móricz Zsigmond	1879.07.02	1942.09.05
71	Irina Kuberszkaja	1946.03.22	
72	Halász László	1932.05.01	2000.12.12
73	Dr. Szaniszló József		
74	Ladomerszky Margit	1904.12.17	1979.10.10
75	Darvas Szilárd	1909.11.30	1961.03.09
76	Ragályi Elemér	1939.04.18	
77	Koltai Róbert	1943.12.16	
78	Hegyi Barnabás	1914.03.04	1966.04.28
79	Kiss Ferenc	1893.04.15	1978.08.13
80	Mentes József	1925.04.17	1996.07.26
81	Mihály András	1917.11.06	1993.09.19
82	Varga György	1954.08.19	
83	Pásztor Erzsi	1936.09.24	
84	Farkas József		
85	Gyenes István	1915.05.17	1984.01.09
86	Ladányi Dénes		
87	Avar István	1931.03.20	2014.09.13
88	Révész György	1927.10.16	2003.04.02
89	Várkonyi Zoltán	1912.05.13	1979.04.10
90	Gertler Viktor	1901.08.24	1969.07.05
91	Bánki Zsuzsa	1921.07.31	1998.01.05
92	Fekete András	1930.10.07	2013.06.20
93	Palásthy György	1931.01.12	2012.04.16
94	Gazdag Gyula	1947.07.19	
95	Bicskey Károly	1920.01.29	2009.10.25
96	Reviczky Gábor	1949.03.28	
97	Zelk Zoltán	1906.12.18	1981.04.23
98	Tomanek Nándor	1922.09.08	1988.08.04
99	Sándor Pál	1939.10.19	
100	Darvas József	1912.02.10	1973.12.03
101	Lévai Ferencné		
102	Ránki György	1907.11.30	1992.05.22
103	Szigligeti Ede	1814.03.08	1878.01.19
104	Bezerédi Zoltán	1955.07.18	
105	Csatlós Vilmos		
106	Tatay Sándor	1910.05.06	1991.12.02
107	Balázsovits Lajos	1946.12.04	
108	Nagy Anikó	1970.04.01	
109	Jókai Mór	1825.02.18	1904.05.05
110	Krystyna Mikołajewska	1939.09.06	
111	Somogyvári Rudolf		
112	Pálos Zsuzsa	1945.09.23	
113	Básti Lajos	1911.11.17	1977.06.01
114	Berki Géza	1927.03.02	1987.08.04
115	Sőth Sándor		
116	Mándy Iván	1918.12.23	1995.10.06
117	Rozsos István	1922.09.14	1963.02.17
118	Piros Ildikó	1947.12.23	
119	Makláry Zoltán	1896.04.16	1978.07.12
120	Herskó János	1926.04.09	2011.10.12
121	Gaál István	1933.08.25	2007.09.25
122	Sánta Ferenc	1927.09.04	2008.06.06
123	Szemes Mari	1932.05.07	1988.12.10
124	Görbe János	1912.11.12	1968.09.05
125	Balla Eszter	1980.05.11	
126	Bencze Ferenc	1924.10.04	1990.09.07
127	Imre István	1928.12.12	2007.07.11
128	Valentyin Grigorjevics Raszputyin	1937.03.15	2015.03.14
129	Eduard Hösch	1890.03.15	1983.11.05
130	Szabó Gyula	1930.07.15	2014.04.04
131	Horváth Jenő	1881.06.14	1931.04.19
132	Meszléry Judit	1941.07.08	
133	Szűcs Gábor	1956.09.25	
134	Szabó Simon	1979.09.29	
135	Dárdai István	1940.03.25	
136	Daróci Bárdos Tamás	1931.09.27	2019.08.27
137	Huszty Tamás		
138	Macskássy Kati	1942.07.13	2008.03.07
139	Maretics Erika	1961.06.06	
140	Déry Tibor	1894.10.18	1977.08.18
141	Bródy János	1946.04.05	
142	Nagy Csaba	1944.08.08	
143	Nagy Anna	1940.06.06	
144	Rózsa János	1937.10.19	
145	Sólyom Katalin	1940.03.18	
146	Szőllősy András	1921.02.27	2007.12.06
147	Csernák Tibor	1927.07.15	1965.11.14
148	Keith Craine		
149	Harsági István		
150	Laluja Ferenc		
151	Kende János	1941.09.22	
152	Vámos Tamás	1938.09.21	
153	Tordy Géza	1938.05.01	
154	Psota Irén	1929.03.28	2016.02.25
155	Darvas Ferenc	1946.06.06	
156	Máriássy Félix	1919.06.03	1975.01.26
157	Andorai Péter	1948.04.25	2020.02.01
158	Gárdos Péter	1948.06.08	
159	Kállai Ferenc	1925.10.04	2010.07.11
160	Schiffer Pál	1939.06.14	2001.10.03
161	Beregi Oszkár	1876.01.24	1965.10.18
162	Lugossy István	1943.08.21	
163	Ráthonyi Zsuzsa		
164	Szakács Eszter	1943.01.14	2014.03.20
165	Vámos Miklós	1950.01.29	
166	Csepela Attila		
167	Moór Marianna	1943.02.05	
168	Asztalos Miklós	1899.07.28	1986.02.23
169	Hernádi Gyula	1926.08.23	2005.07.20
170	Aldobolyi Nagy György	1939.03.01	
171	Orsolya Erzsi	1901.11.06	1984.05.13
172	Gelley Kornél	1932.03.05	1989.03.19
173	Balkay Géza	1952.09.05	2006.04.03
174	Józsa Andrea		
175	György László	1923.08.01	1986.05.12
176	Lázár Kati	1948.12.14	
177	Kardos István	1942.05.12	2002.09.24
178	Bihari József	1901.01.14	1981.02.25
179	Haraszti Zsolt	1946.06.03	2004.04.28
180	Szemere Vera	1923.08.06	1995.04.03
181	Karinthy Frigyes	1887.06.25	1938.08.29
182	Rajczy Lajos	1914.07.01	1957.05.22
183	Pécsi Sándor	1922.03.18	1972.11.04
184	Beke Zoltán	1911.07.30	1994.03.09
185	Jávor Pál	1902.01.31	1959.08.14
186	Andor Tamás	1937.12.20	
187	Vajda László	1877.08.18	1933.03.10
188	Törőcsik Mari	1935.11.23	2021.04.16
189	Halász Judit	1942.10.07	
190	Csutorás Sándor	1943.09.30	1989.12.28
191	Jankura Péter	1946.02.27	2009.05.26
192	Fazekas Mihály	1766.01.06	1828.02.23
193	Neményi Mária		
194	Schirilla György	1939.05.13	1999.02.03
195	Pártos Erzsi	1907.04.02	2000.04.18
196	Rófusz Ferenc	1946.08.19	
197	Radványi Géza	1907.09.26	1986.11.27
198	Kovács Krisztián	1978.01.24	
199	Várkonyi Zoltán	1912.05.13	1979.04.10
200	Török Ferenc	1935.08.03	
201	Szakács Sándor	1917.09.20	1965.07.09
202	Pap Vera	1956.01.27	2015.04.09
203	Nóti Károly	1892.02.01	1954.05.28
204	Karalyos Gábor	1980.01.25	
205	Major Tamás	1910.01.26	1986.04.13
206	Temessy Hédi	1925.05.06	2001.05.29
207	Kakassy Ági	1941.04.05	1987.05.10
208	Ráday Mihály	1942.06.11	2021.07.16
209	Hintsch Gyuri	1925.01.28	2005.12.04
210	Köllő Miklós	1928.06.28	
211	Vajda Béla	1935.04.24	2011.09.14
212	Sulyok Mária	1908.11.05	1987.10.20
213	Sövény Zoli		
214	Dajka Margit	1907.10.13	1986.05.24
215	Fábri Zoltán	1917.10.15	1994.08.23
216	Simonyi Lia	1909.02.25	
217	Juhász Ferenc	1928.08.16	2015.12.02
218	Kern András	1948.01.28	
219	Deák Tamás	1928.04.27	
220	Mikszáth Kálmán	1847.01.16	1910.05.28
221	Kiss Antal		
222	Tatyjana Konyuhova	1931.11.12	
223	Nádasdy László	1927.02.25	1983.09.12
224	Klaus Mann	1906.11.18	1949.05.21
225	Vajda István	1926.03.19	1987.03.18
226	Hajmássy Miklós	1900.07.02	1990.02.09
227	Szőreghy Gyula	1887.11.30	1942.12.22
228	Henrik Irén	1937.06.11	
229	Máthé Tibor	1943.01.29	
230	Lehotay Árpád	1896.04.27	1953.10.19
231	Nagy Sándor		
232	Örkény István	1912.04.05	1979.06.24
233	Tóth Marcell		
234	Zsombolyai János	1939.01.30	2015.01.04
