filmazon	munkakorazon	alkotoazon
38361	6	14
38361	6	15
38361	3	27
38361	6	64
38361	6	115
38361	6	207
38361	6	265
38361	6	267
38361	3	323
38361	1	323
38361	2	327
38361	6	402
38364	6	69
38364	4	116
38364	6	139
38364	2	151
38364	6	174
38364	6	260
38364	5	303
38364	6	355
38364	3	363
38364	1	363
38364	6	364
38574	6	40
38574	3	75
38574	1	90
38574	3	259
38574	6	322
38574	2	343
38574	3	344
38574	6	360
38574	6	374
38574	6	398
38574	6	422
38580	2	21
38580	6	52
38580	1	89
38580	4	109
38580	6	153
38580	6	180
38580	6	205
38580	6	212
38580	6	284
38580	3	341
38580	6	378
38586	1	65
38586	1	376
38589	6	8
38589	6	13
38589	4	122
38589	6	126
38589	3	215
38589	1	215
38589	2	324
38589	6	387
38589	6	454
38592	6	95
38592	6	159
38592	6	215
38592	6	314
38592	6	315
38592	3	368
38592	1	368
38592	6	402
38595	6	41
38595	2	50
38595	6	130
38595	6	205
38595	6	290
38595	1	311
38595	3	385
38595	3	409
38595	6	442
38595	6	451
38604	6	17
38604	6	84
38604	6	86
38604	6	101
38604	3	258
38604	1	258
38604	2	262
38604	6	354
38604	6	380
38607	2	1
38607	6	42
38607	6	45
38607	1	261
38607	6	336
38607	6	372
38607	3	392
38607	4	447
38616	1	147
38616	4	217
38619	4	37
38619	6	59
38619	6	183
38619	6	188
38619	3	215
38619	1	215
38619	6	285
38619	2	324
38619	3	400
38619	6	404
38619	6	418
38622	6	9
38622	6	72
38622	6	83
38622	6	202
38622	6	255
38622	3	319
38622	2	327
38622	3	349
38622	1	349
38622	6	448
38625	4	70
38625	6	143
38625	6	167
38625	2	272
38625	6	286
38625	6	295
38625	6	316
38625	1	389
38625	6	414
38625	3	441
38643	4	109
38643	1	196
38646	6	5
38646	6	30
38646	6	41
38646	6	48
38646	2	50
38646	7	52
38646	7	153
38646	7	180
38646	7	205
38646	7	212
38646	7	284
38646	6	291
38646	1	311
38646	6	317
38646	6	322
38646	6	348
38646	7	378
38646	3	412
38649	3	38
38649	5	44
38649	6	54
38649	2	78
38649	6	79
38649	3	168
38649	6	185
38649	1	197
38649	3	203
38649	4	220
38649	6	227
38649	6	230
38649	3	305
38652	3	43
38652	1	43
38652	5	384
38658	6	13
38658	6	92
38658	6	148
38658	2	162
38658	6	190
38658	3	274
38658	1	274
38658	6	320
38658	4	447
38676	1	65
38676	1	239
38679	6	13
38679	3	23
38679	6	25
38679	5	146
38679	6	153
38679	6	249
38679	3	272
38679	2	272
38679	1	272
38679	6	293
38679	6	312
38682	6	56
38682	1	156
38682	6	182
38682	3	242
38682	6	268
38682	6	271
38682	2	324
38682	3	350
38682	6	422
38682	6	423
38688	6	12
38688	6	96
38688	6	176
38688	6	245
38688	6	253
38688	6	273
38688	3	296
38688	2	427
38688	3	452
38688	1	452
38697	2	82
38697	5	246
38697	4	366
38697	3	426
38697	1	426
38709	3	22
38709	4	22
38709	6	63
38709	1	93
38709	6	209
38709	6	214
38709	6	257
38709	6	337
38709	6	342
38709	2	343
38709	6	370
38709	6	379
38712	5	34
38712	6	41
38712	6	49
38712	1	89
38712	6	180
38712	6	236
38712	6	283
38712	4	309
38712	3	358
38712	2	413
38712	6	430
38718	2	78
38718	1	90
38718	6	111
38718	4	225
38718	6	254
38718	6	335
38718	6	393
38718	3	409
38718	5	438
38718	6	442
38721	6	5
38721	3	85
38721	6	111
38721	6	119
38721	3	215
38721	1	215
38721	6	361
38721	6	399
38721	3	409
38721	2	413
38721	6	421
38721	4	455
38727	7	13
38727	3	35
38727	3	60
38727	1	60
38727	7	108
38727	2	142
38727	2	166
38727	7	195
38727	2	297
38727	2	331
38727	4	407
38727	3	429
38727	5	439
38730	1	65
38733	6	5
38733	6	10
38733	2	78
38733	6	188
38733	3	215
38733	1	215
38733	3	223
38733	6	295
38733	6	330
38733	6	334
38736	6	2
38736	1	11
38736	6	36
38736	2	50
38736	4	103
38736	6	183
38736	6	214
38736	6	334
38736	6	367
38736	6	431
38736	3	440
38736	6	442
38739	7	3
38739	3	4
38739	1	4
38739	3	61
38739	5	136
38739	4	192
38739	7	218
38739	2	228
38739	7	237
38739	7	240
38739	3	248
38739	7	330
38799	6	13
38799	6	157
38799	4	224
38799	6	307
38799	6	310
38799	2	327
38799	3	346
38799	1	346
38799	6	406
38799	3	420
38799	6	433
38799	6	450
38802	7	7
38802	7	52
38802	7	67
38802	2	82
38802	2	142
38802	2	193
38802	7	218
38802	5	219
38802	3	248
38802	7	263
38802	7	270
38802	7	278
38802	7	284
38802	7	306
38802	1	325
38802	7	419
38805	3	11
38805	1	11
38805	6	118
38805	6	188
38805	6	214
38805	4	232
38805	3	390
38805	2	390
38805	6	391
38805	6	394
38805	6	453
38811	2	452
38811	1	452
38811	5	452
38814	6	18
38814	2	76
38814	3	121
38814	1	121
38814	6	132
38814	6	231
38814	6	269
38814	3	298
38814	4	298
38814	6	371
38814	6	435
38817	3	19
38817	3	24
38817	1	24
38817	6	71
38817	6	123
38817	6	243
38817	6	329
38817	5	356
38817	2	359
38817	6	395
38817	6	414
38820	2	179
38820	1	274
38823	2	193
38823	1	248
38826	4	28
38826	5	34
38826	3	137
38826	6	143
38826	6	188
38826	6	201
38826	6	244
38826	2	324
38826	6	357
38826	6	386
38826	1	389
38832	2	390
38832	1	390
38835	1	11
38835	3	140
38835	6	164
38835	6	171
38835	6	188
38835	6	294
38835	6	378
38835	2	390
38835	6	442
38838	6	36
38838	3	88
38838	1	88
38838	6	98
38838	5	102
38838	4	181
38838	6	183
38838	6	188
38838	6	205
38838	2	324
38838	6	387
38841	6	9
38841	2	78
38841	6	91
38841	6	117
38841	1	197
38841	3	247
38841	6	383
38841	6	410
38841	6	422
40002	1	456
40014	3	43
40014	1	43
40020	5	44
40020	4	116
40020	1	216
40020	2	408
40023	2	149
40023	4	217
40023	3	401
40023	1	401
40029	6	145
40029	6	163
40029	2	272
40029	6	318
40029	6	321
40029	3	346
40029	1	346
40029	6	386
40029	6	422
40032	4	109
40032	1	401
40047	6	104
40047	6	107
40047	6	157
40047	6	189
40047	2	327
40047	3	346
40047	1	346
40047	6	406
40047	6	448
40050	1	241
40050	3	248
40050	2	390
40065	6	110
40065	3	169
40065	6	222
40065	6	277
40065	6	345
40065	3	347
40065	2	369
40065	6	381
40065	1	403
40065	6	425
40080	6	5
40080	6	74
40080	6	119
40080	3	203
40080	6	226
40080	1	375
40080	6	411
40080	6	423
40080	2	424
40098	2	32
40098	6	51
40098	6	124
40098	6	178
