id	datum	ido	telepid	magnitudo	intenzitas
1	2020.10.10	3:55:45	35	2,1	4,5
2	2008.11.13	12:50:22	58	3,5	4,5
3	2003.10.11	5:57:00	68		4,5
4	2002.12.25	21:58:23	53	2,6	4,5
5	2002.02.11	20:24:13	30	3	4,5
6	2007.11.18	14:22:38	45	3	4
7	2004.08.17	18:00:34	56	3,4	4,5
8	2021.09.18	4:47:05	49	2,7	4
9	2002.10.23	2:52:15	50	3,7	5
10	2013.12.17	2:10:47	1	1,6	4
11	1999.08.03	6:51:38	105	2,8	5
12	2021.09.18	3:05:01	49	2,2	3
13	2014.02.03	23:57:07	48	2	3,5
14	2004.07.20	22:13:25	10	2,5	4,5
15	2013.06.05	18:45:46	32	4,1	5,5
16	2022.07.23	16:00:55	49	3,4	4
17	2013.10.10	2:02:32	67	2,3	4
18	2019.02.17	14:40:45	97	2,7	4
19	2004.10.14	9:44:51	71	2,8	4,5
20	2013.10.19	7:02:44	76	3	4,5
21	2006.11.15	18:09:39	5	3,2	4
22	2018.05.12	23:50:43	67	2,3	3
23	2015.01.01	10:27:45	48	2,1	3
24	2005.09.30	20:56:38	104	2,3	4
25	2011.09.03	7:30:31	89	2,7	4,5
26	2020.06.01	17:24:31	74	2,4	3,5
27	2011.09.07	22:38:20	55	2,3	4
28	2013.08.12	1:14:28	13	2	3,5
29	2015.01.01	6:43:24	48	3,9	5
30	2016.01.22	6:16:21	44	2,4	4
31	2001.06.22	13:26:40	82	1,8	4,5
32	2014.01.22	12:13:43	48	2,9	4,5
33	2016.04.29	4:41:29	80	2,1	3,5
34	2011.01.29	17:41:38	81	4,5	6
35	2008.11.13	7:47:30	58	3,7	4,5
36	2008.01.18	8:14:37	85	2,7	4
37	2014.06.04	17:56:28	90	3	5
38	2003.12.31	20:43:49	64	2,6	4,5
39	2003.02.03	19:32:46	43	2,7	5
40	2015.01.07	13:48:54	48	2,1	3
41	1996.10.21	1:23:25	29	2,5	4,5
42	2015.03.29	15:39:18	92	3,3	5
43	2002.02.25	23:10:19	42	2,2	3,5
44	2003.07.08	17:04:19	18	3	5
45	2006.09.15	21:02:04	107	2,9	4
46	2008.07.15	19:59:06	113	1,9	4,5
47	2001.06.28	7:08:34	119	3	4
48	2003.09.10	12:40:00	68		3,5
49	2016.04.25	5:54:07	93	2,8	4
50	2022.10.22	20:59:57	96	2,5	4
51	2000.03.02	6:15:38	36	2,7	3,5
52	2013.06.03	21:23:06	108	2,2	3,5
53	1995.02.05	13:45:36	100	3,7	5,5
54	2013.04.22	22:28:46	44	4,8	6
55	2010.08.17	20:11:04	94	3	4,5
56	2015.01.01	10:45:57	48	3,9	5
57	2015.01.01	14:22:10	48	3,1	4
58	2015.08.05	12:17:17	69	2,6	4
59	2019.03.07	19:07:54	83	4	5
60	2003.06.21	20:05:58	50	3,7	5,5
61	2010.06.21	21:03:22	3	2	4
62	2004.08.18	9:01:23	54	3,2	5
63	2010.08.17	3:26:14	21	2,7	4
64	2020.12.13	11:03:59	69	2,4	4
65	2013.12.15	19:44:58	1	1,9	5
66	2000.06.02	15:17:30	77	2,6	3,5
67	2010.08.17	5:32:43	72	2,4	4
68	1995.09.18	8:26:11	15	3,7	5,5
69	2013.08.15	2:22:42	34	2,8	4
70	2018.08.29	13:29:08	39	3,1	3,5
71	2014.06.05	1:44:20	19	2,6	4,5
72	2011.01.26	20:23:22	3	2,1	4,5
73	2003.09.10	6:36:00	87		4
