megrendeles_id;fordito_id;megrendelo_id;datum;oldalszam
1;4;23;2015.01.01;14
2;6;60;2015.01.01;15
3;21;58;2015.01.01;14
4;22;78;2015.01.02;4
5;9;44;2015.01.02;5
6;11;36;2015.01.03;2
7;16;64;2015.01.04;4
8;27;96;2015.01.04;1
9;12;16;2015.01.04;2
10;11;87;2015.01.04;5
11;15;33;2015.01.05;22
12;12;9;2015.01.05;36
13;27;95;2015.01.05;1
14;15;36;2015.01.05;5
15;5;73;2015.01.06;2
16;4;90;2015.01.06;1
17;25;50;2015.01.06;3
18;7;50;2015.01.07;15
19;4;31;2015.01.07;4
20;11;83;2015.01.07;5
21;18;47;2015.01.08;37
22;27;17;2015.01.09;4
23;4;24;2015.01.09;5
24;11;6;2015.01.11;5
25;20;25;2015.01.11;32
26;18;60;2015.01.11;3
27;7;21;2015.01.11;2
28;13;36;2015.01.12;4
29;14;10;2015.01.13;3
30;11;68;2015.01.13;37
31;26;68;2015.01.13;12
32;9;90;2015.01.14;1
33;21;5;2015.01.14;34
34;16;89;2015.01.14;5
35;14;10;2015.01.14;3
36;3;45;2015.01.15;36
37;28;62;2015.01.15;1
38;21;22;2015.01.15;1
39;14;2;2015.01.15;1
40;19;72;2015.01.15;3
41;28;59;2015.01.15;4
42;15;78;2015.01.15;19
43;24;59;2015.01.15;1
44;8;69;2015.01.15;36
45;4;99;2015.01.15;3
46;15;79;2015.01.16;36
47;12;56;2015.01.16;3
48;17;71;2015.01.16;3
49;2;54;2015.01.16;38
50;3;18;2015.01.16;14
51;5;3;2015.01.16;4
52;6;38;2015.01.17;5
53;10;83;2015.01.17;1
54;9;74;2015.01.17;5
55;6;36;2015.01.17;4
56;29;30;2015.01.17;20
57;2;71;2015.01.18;1
58;18;70;2015.01.18;23
59;9;40;2015.01.18;3
60;24;27;2015.01.19;3
61;13;35;2015.01.20;2
62;11;2;2015.01.20;4
63;23;66;2015.01.21;18
64;23;95;2015.01.21;13
65;26;22;2015.01.21;33
66;15;2;2015.01.21;1
67;15;93;2015.01.22;31
68;12;22;2015.01.22;1
69;17;41;2015.01.22;3
70;12;64;2015.01.22;1
71;15;45;2015.01.22;4
72;27;87;2015.01.22;23
73;12;18;2015.01.23;1
74;17;86;2015.01.23;2
75;22;71;2015.01.23;1
76;12;24;2015.01.24;31
77;4;49;2015.01.24;2
78;29;2;2015.01.24;29
79;30;37;2015.01.25;3
80;22;40;2015.01.25;2
81;15;42;2015.01.25;5
82;25;85;2015.01.25;3
83;20;18;2015.01.25;2
84;8;62;2015.01.25;38
85;22;41;2015.01.26;5
86;18;35;2015.01.26;5
87;8;55;2015.01.26;5
88;25;53;2015.01.26;5
89;21;88;2015.01.27;1
90;3;38;2015.01.27;4
91;8;80;2015.01.27;19
92;24;58;2015.01.28;37
93;17;16;2015.01.28;4
94;26;24;2015.01.28;31
95;4;2;2015.02.01;4
96;21;59;2015.02.01;3
97;15;63;2015.02.02;2
98;22;10;2015.02.02;39
99;23;39;2015.02.02;2
100;22;89;2015.02.03;2
101;30;16;2015.02.03;1
102;14;22;2015.02.03;11
103;22;31;2015.02.03;4
104;7;96;2015.02.04;3
105;22;57;2015.02.04;26
106;8;74;2015.02.05;25
107;18;95;2015.02.05;21
108;23;66;2015.02.05;2
109;28;82;2015.02.05;4
110;2;51;2015.02.06;3
111;12;41;2015.02.06;1
112;1;35;2015.02.06;2
113;18;14;2015.02.06;1
114;5;61;2015.02.06;2
115;14;46;2015.02.06;26
116;14;11;2015.02.06;5
117;3;86;2015.02.07;2
118;29;77;2015.02.07;3
119;28;15;2015.02.07;1
120;24;84;2015.02.07;4
121;22;34;2015.02.08;5
122;11;64;2015.02.08;2
123;27;37;2015.02.08;3
124;16;68;2015.02.08;1
125;11;46;2015.02.08;3
126;17;73;2015.02.09;3
127;27;20;2015.02.09;3
128;30;16;2015.02.09;4
129;5;10;2015.02.09;4
130;29;48;2015.02.10;18
131;16;93;2015.02.10;2
132;22;51;2015.02.10;2
133;12;51;2015.02.11;38
134;6;60;2015.02.11;11
135;28;85;2015.02.11;2
136;16;88;2015.02.12;3
137;11;88;2015.02.12;4
138;3;5;2015.02.12;26
139;29;50;2015.02.12;37
140;5;92;2015.02.12;2
