id;name;location;type;date;price
1;Krúbi Live;Akvárium Klub;hiphop;2026-06-10 20:00:00;5500
2;Carson Coma koncert;Budapest Park;pop;2026-06-12 19:00:00;6500
3;Azahriah koncert;Papp László Budapest Sportaréna;pop;2026-06-14 20:00:00;12000
4;Analog Balaton;Turbina;electronic;2026-06-15 21:00:00;4000
5;Beton.Hofi Live;Dürer Kert;hiphop;2026-06-16 20:30:00;5000
6;Bagossy Brothers Company;Budapest Park;rock;2026-06-18 19:00:00;7000
7;Halott Pénz koncert;Budapest Park;pop;2026-06-20 20:00:00;8000
8;Follow The Flow;Akvárium Klub;pop;2026-06-21 20:00:00;6000
9;Ivan & The Parazol;Dürer Kert;rock;2026-06-22 21:00:00;4500
10;Wellhello koncert;Budapest Park;pop;2026-06-24 20:00:00;7500
11;Blahalouisiana;Akvárium Klub;pop;2026-06-25 19:30:00;5000
12;Elefánt koncert;Turbina;rock;2026-06-26 20:00:00;4800
13;Margaret Island;Budapest Park;pop;2026-06-27 19:00:00;7200
14;Pogány Induló;Dürer Kert;hiphop;2026-06-28 21:00:00;4000
15;Lil Frakk;Akvárium Klub;hiphop;2026-06-29 20:00:00;3500
16;DJ OIEE szett;Instant-Fogas;electronic;2026-07-01 23:00:00;3000
17;Sisi koncert;Turbina;hiphop;2026-07-02 20:00:00;4200
18;Kiscsillag;Dürer Kert;rock;2026-07-03 20:00:00;5000
19;AWS emlékkoncert;Barba Negra;rock;2026-07-04 19:00:00;6500
20;ByeAlex és a Slepp;Budapest Park;pop;2026-07-05 20:00:00;7800
21;Bëlga koncert;Akvárium Klub;hiphop;2026-07-06 20:00:00;5200
22;30Y;Dürer Kert;rock;2026-07-07 20:00:00;5500
23;Co Lee;Turbina;hiphop;2026-07-08 21:00:00;3900
24;Platon Karataev;Akvárium Klub;other;2026-07-09 19:30:00;4700
25;Hundred Sins DJ set;Instant-Fogas;electronic;2026-07-10 23:30:00;3200
26;Desh koncert;Dürer Kert;hiphop;2026-07-11 21:00:00;4500
27;VALMAR koncert;Budapest Park;pop;2026-07-12 20:00:00;8500
28;Caramel koncert;Margitszigeti Szabadtéri Színpad;pop;2026-07-13 19:00:00;9000
29;Bruno x Spacc;Akvárium Klub;hiphop;2026-07-14 20:00:00;4800
30;Ingyenes DJ est;Gozsdu Udvar;electronic;2026-07-15 18:00:00NUL
