talalkozo_id;tanacsado_id;ugyfel_id;datum;idopont;idotartam
1;18;28;2023.01.01;9:00:00;3
2;11;51;2023.01.01;10:00:00;2
3;20;14;2023.01.01;10:00:00;3
4;5;6;2023.01.01;11:00:00;4
5;14;18;2023.01.01;12:00:00;4
6;19;52;2023.01.01;13:00:00;1
7;15;47;2023.01.02;8:30:00;4
8;3;52;2023.01.02;11:30:00;2
9;5;14;2023.01.02;11:30:00;3
10;18;42;2023.01.02;13:30:00;3
11;7;43;2023.01.02;14:00:00;2
12;16;29;2023.01.03;8:30:00;4
13;1;10;2023.01.03;9:00:00;2
14;15;18;2023.01.03;10:00:00;1
15;3;11;2023.01.03;10:00:00;3
16;10;27;2023.01.04;10:00:00;2
17;9;52;2023.01.04;11:00:00;1
18;7;9;2023.01.04;15:00:00;4
19;17;8;2023.01.05;11:00:00;2
20;7;52;2023.01.05;12:30:00;2
21;19;4;2023.01.05;14:00:00;3
22;6;10;2023.01.06;10:00:00;1
23;12;33;2023.01.06;13:00:00;2
24;17;1;2023.01.06;13:00:00;2
25;16;51;2023.01.06;14:30:00;4
26;4;9;2023.01.07;9:30:00;3
27;14;54;2023.01.07;10:00:00;1
28;10;47;2023.01.07;13:30:00;1
29;9;29;2023.01.07;14:30:00;2
30;18;27;2023.01.08;11:00:00;1
31;4;43;2023.01.08;14:00:00;3
32;9;24;2023.01.08;14:00:00;1
33;1;29;2023.01.09;8:00:00;2
34;5;54;2023.01.09;9:00:00;1
35;19;10;2023.01.09;9:30:00;3
36;6;39;2023.01.09;13:30:00;2
37;4;28;2023.01.09;14:30:00;3
38;3;3;2023.01.10;8:30:00;4
39;12;13;2023.01.10;12:00:00;1
40;19;43;2023.01.10;12:30:00;4
41;20;18;2023.01.10;13:30:00;2
42;7;39;2023.01.10;14:00:00;3
43;17;44;2023.01.10;14:30:00;2
44;17;22;2023.01.11;9:00:00;2
45;1;39;2023.01.11;9:30:00;2
46;9;14;2023.01.11;10:30:00;3
47;19;8;2023.01.11;11:00:00;1
48;2;5;2023.01.11;11:00:00;2
49;6;53;2023.01.11;14:00:00;3
50;5;50;2023.01.12;9:00:00;3
51;18;46;2023.01.12;9:00:00;1
52;20;33;2023.01.12;11:00:00;3
53;13;3;2023.01.12;12:30:00;4
54;1;36;2023.01.12;15:00:00;1
55;10;40;2023.01.13;8:00:00;4
56;4;48;2023.01.13;10:30:00;4
57;8;54;2023.01.13;12:00:00;2
58;13;4;2023.01.13;12:30:00;4
59;7;28;2023.01.13;14:30:00;2
60;3;34;2023.01.13;14:30:00;2
61;15;38;2023.01.14;8:00:00;2
62;13;32;2023.01.14;8:00:00;3
63;10;9;2023.01.14;9:00:00;4
64;11;10;2023.01.14;12:00:00;2
65;4;35;2023.01.14;12:00:00;4
66;7;25;2023.01.14;12:00:00;1
67;3;28;2023.01.14;14:00:00;3
68;12;9;2023.01.14;14:30:00;3
69;20;41;2023.01.14;14:30:00;3
70;11;51;2023.01.15;11:00:00;4
71;10;46;2023.01.15;11:30:00;1
72;9;19;2023.01.15;12:00:00;2
73;4;51;2023.01.15;12:00:00;3
74;15;5;2023.01.15;12:00:00;1
75;2;19;2023.01.15;15:30:00;1
76;4;51;2023.01.16;9:00:00;4
77;14;48;2023.01.16;11:00:00;4
78;10;28;2023.01.16;11:00:00;2
79;2;35;2023.01.17;8:00:00;1
80;17;41;2023.01.17;10:00:00;2
81;4;45;2023.01.17;12:30:00;1
82;18;31;2023.01.18;8:30:00;1
83;12;29;2023.01.18;9:00:00;2
84;8;24;2023.01.18;9:00:00;3
85;2;15;2023.01.18;9:30:00;4
86;3;46;2023.01.18;11:30:00;1
87;10;46;2023.01.18;14:00:00;3
88;20;16;2023.01.20;8:30:00;1
89;6;45;2023.01.20;11:00:00;4
90;13;35;2023.01.20;14:30:00;4
91;13;38;2023.01.21;11:00:00;2
92;14;14;2023.01.21;11:30:00;3
93;17;1;2023.01.21;15:30:00;2
94;11;42;2023.01.22;10:00:00;3
95;15;29;2023.01.22;11:30:00;4
96;20;8;2023.01.22;14:00:00;1
97;5;18;2023.01.23;11:30:00;3
98;20;19;2023.01.23;14:00:00;2
99;14;8;2023.01.23;15:30:00;4
100;8;26;2023.01.24;12:00:00;4
101;20;40;2023.01.24;14:00:00;2
102;18;24;2023.01.24;15:00:00;3
103;13;48;2023.01.25;9:30:00;2
104;19;22;2023.01.25;10:00:00;3
105;5;53;2023.01.25;12:00:00;4
106;18;24;2023.01.25;15:30:00;2
107;6;41;2023.01.26;9:00:00;4
108;2;19;2023.01.26;11:30:00;4
109;19;10;2023.01.26;12:00:00;3
110;10;33;2023.01.26;14:00:00;3
111;17;21;2023.01.26;14:00:00;3
112;1;20;2023.01.26;14:30:00;4
113;3;24;2023.01.27;8:00:00;2
114;7;23;2023.01.27;8:30:00;1
115;4;7;2023.01.28;8:00:00;1
116;10;45;2023.01.28;10:30:00;4
117;15;7;2023.01.28;11:30:00;3
118;18;52;2023.01.28;13:30:00;2
119;17;31;2023.01.28;13:30:00;3
120;9;7;2023.01.28;14:30:00;3
121;1;43;2023.02.01;8:30:00;3
122;4;2;2023.02.01;9:30:00;4
123;11;27;2023.02.01;10:30:00;4
124;2;13;2023.02.01;14:00:00;4
125;20;21;2023.02.02;9:00:00;1
126;1;10;2023.02.02;9:30:00;3
127;7;53;2023.02.02;12:30:00;1
128;14;16;2023.02.02;12:30:00;1
129;8;23;2023.02.02;13:00:00;4
130;16;46;2023.02.02;14:00:00;3
131;11;23;2023.02.02;14:30:00;4
132;12;12;2023.02.03;8:00:00;1
133;7;14;2023.02.03;8:00:00;4
134;20;38;2023.02.03;12:00:00;2
135;9;22;2023.02.03;13:00:00;2
136;18;9;2023.02.04;8:30:00;1
137;5;27;2023.02.04;9:00:00;2
138;9;37;2023.02.04;9:00:00;3
139;1;38;2023.02.04;14:30:00;4
140;4;9;2023.02.05;9:30:00;1
141;15;39;2023.02.05;10:00:00;1
142;3;44;2023.02.05;10:30:00;2
